Province/State,Country/Region,Date,Confirmed,Deaths,Recovered
,Afghanistan,1/22/2020,0,0,0
,Albania,1/22/2020,0,0,0
,Algeria,1/22/2020,0,0,0
,Andorra,1/22/2020,0,0,0
,Angola,1/22/2020,0,0,0
,Antigua and Barbuda,1/22/2020,0,0,0
,Argentina,1/22/2020,0,0,0
,Armenia,1/22/2020,0,0,0
Australian Capital Territory,Australia,1/22/2020,0,0,0
New South Wales,Australia,1/22/2020,0,0,0
Northern Territory,Australia,1/22/2020,0,0,0
Queensland,Australia,1/22/2020,0,0,0
South Australia,Australia,1/22/2020,0,0,0
Tasmania,Australia,1/22/2020,0,0,0
Victoria,Australia,1/22/2020,0,0,0
Western Australia,Australia,1/22/2020,0,0,0
,Austria,1/22/2020,0,0,0
,Azerbaijan,1/22/2020,0,0,0
,Bahamas,1/22/2020,0,0,0
,Bahrain,1/22/2020,0,0,0
,Bangladesh,1/22/2020,0,0,0
,Barbados,1/22/2020,0,0,0
,Belarus,1/22/2020,0,0,0
,Belgium,1/22/2020,0,0,0
,Benin,1/22/2020,0,0,0
,Bhutan,1/22/2020,0,0,0
,Bolivia,1/22/2020,0,0,0
,Bosnia and Herzegovina,1/22/2020,0,0,0
,Brazil,1/22/2020,0,0,0
,Brunei,1/22/2020,0,0,0
,Bulgaria,1/22/2020,0,0,0
,Burkina Faso,1/22/2020,0,0,0
,Cabo Verde,1/22/2020,0,0,0
,Cambodia,1/22/2020,0,0,0
,Cameroon,1/22/2020,0,0,0
Alberta,Canada,1/22/2020,0,0,0
British Columbia,Canada,1/22/2020,0,0,0
Grand Princess,Canada,1/22/2020,0,0,0
Manitoba,Canada,1/22/2020,0,0,0
New Brunswick,Canada,1/22/2020,0,0,0
Newfoundland and Labrador,Canada,1/22/2020,0,0,0
Nova Scotia,Canada,1/22/2020,0,0,0
Ontario,Canada,1/22/2020,0,0,0
Prince Edward Island,Canada,1/22/2020,0,0,0
Quebec,Canada,1/22/2020,0,0,0
Saskatchewan,Canada,1/22/2020,0,0,0
,Central African Republic,1/22/2020,0,0,0
,Chad,1/22/2020,0,0,0
,Chile,1/22/2020,0,0,0
Anhui,China,1/22/2020,1,0,0
Beijing,China,1/22/2020,14,0,0
Chongqing,China,1/22/2020,6,0,0
Fujian,China,1/22/2020,1,0,0
Gansu,China,1/22/2020,0,0,0
Guangdong,China,1/22/2020,26,0,0
Guangxi,China,1/22/2020,2,0,0
Guizhou,China,1/22/2020,1,0,0
